eaId,commonName,position,archetype,chemstyle,height,weight,skillMoves,weakFoot,attributeAcceleration,attributeSprintSpeed,attributePositioning,attributeFinishing,attributeShotPower,attributeLongShots,attributeVolleys,attributePenalties,attributeVision,attributeCrossing,attributeFkAccuracy,attributeShortPassing,attributeLongPassing,attributeCurve,attributeAgility,attributeBalance,attributeReactions,attributeBallControl,attributeDribbling,attributeComposure,attributeInterceptions,attributeHeadingAccuracy,attributeDefensiveAwareness,attributeStandingTackle,attributeSlidingTackle,attributeJumping,attributeStamina,attributeStrength,attributeAggression,Finesse Shot,Chip Shot,Power Shot,Dead Ball,Power Header,Low Driven Shot,Incisive Pass,Pinged Pass,Long Ball Pass,Tiki Taka,Whipped Pass,Jockey,Block,Intercept,Anticipate,Slide Tackle,Bruiser,Technical,Rapid,Flair,First Touch,Trickster,Press Proven,Quick Step,Relentless,Trivela,Acrobatic,Long Throw,Aerial,accelerateType_EXPLOSIVE,accelerateType_MOSTLY_EXPLOSIVE,accelerateType_CONTROLLED_EXPLOSIVE,accelerateType_CONTROLLED,accelerateType_CONTROLLED_LENGTHY,accelerateType_MOSTLY_LENGTHY,accelerateType_LENGTHY,bodytype_Lean Medium,bodytype_Average Medium,bodytype_Stocky Medium,bodytype_Lean Tall,bodytype_Average Tall,bodytype_Stocky Tall,bodytype_Lean Short,bodytype_Average Short,bodytype_Stocky Short,bodytype_Unique,predicted_meta_rating
54050,Wayne Rooney,ST,advanced_forward,none,176,82,3,4,89,87,92,91,94,91,92,87,79,77,82,84,83,84,82,82,90,89,84,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,80.3679110882999
54050,Wayne Rooney,ST,advanced_forward,hunter,176,82,3,4,97,95,96,99,98,91,99,95,79,77,82,84,83,84,82,82,90,89,84,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,86.08387726709688
54050,Wayne Rooney,CAM,classic_ten,none,176,82,3,4,89,87,92,91,94,91,92,87,79,77,82,84,83,84,82,82,90,89,84,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,78.90651259047712
54050,Wayne Rooney,CAM,classic_ten,engine,176,82,3,4,93,91,92,91,94,91,92,87,83,85,82,88,87,92,86,90,90,89,92,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,83.30575582021875
54050,Wayne Rooney,ST,false_nine,none,176,82,3,4,89,87,92,91,94,91,92,87,79,77,82,84,83,84,82,82,90,89,84,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,79.18837803577733
54050,Wayne Rooney,ST,false_nine,artist,176,82,3,4,89,87,92,91,94,91,92,87,87,85,86,84,95,88,94,82,94,89,92,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,83.36239874856358
54050,Wayne Rooney,CAM,half_winger,none,176,82,3,4,89,87,92,91,94,91,92,87,79,77,82,84,83,84,82,82,90,89,84,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,75.49770879395568
54050,Wayne Rooney,CAM,half_winger,catalyst,176,82,3,4,97,95,92,91,94,91,92,87,79,89,90,88,91,88,82,82,90,89,84,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,79.9955806000625
54050,Wayne Rooney,CAM,playmaker,none,176,82,3,4,89,87,92,91,94,91,92,87,79,77,82,84,83,84,82,82,90,89,84,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,77.63863716247275
54050,Wayne Rooney,CAM,playmaker,catalyst,176,82,3,4,97,95,92,91,94,91,92,87,79,89,90,88,91,88,82,82,90,89,84,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,81.43220919044589
54050,Wayne Rooney,ST,poacher,none,176,82,3,4,89,87,92,91,94,91,92,87,79,77,82,84,83,84,82,82,90,89,84,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,79.00876009508158
54050,Wayne Rooney,ST,poacher,hunter,176,82,3,4,97,95,96,99,98,91,99,95,79,77,82,84,83,84,82,82,90,89,84,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,84.5056863088983
54050,Wayne Rooney,CAM,shadow_striker,none,176,82,3,4,89,87,92,91,94,91,92,87,79,77,82,84,83,84,82,82,90,89,84,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,80.5599439788596
54050,Wayne Rooney,CAM,shadow_striker,engine,176,82,3,4,93,91,92,91,94,91,92,87,83,85,82,88,87,92,86,90,90,89,92,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,84.92017891858288
54050,Wayne Rooney,ST,target_forward,none,176,82,3,4,89,87,92,91,94,91,92,87,79,77,82,84,83,84,82,82,90,89,84,85,49,99,59,63,49,85,89,85,88,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,72.75827126034002
54050,Wayne Rooney,ST,target_forward,hawk,176,82,3,4,93,91,96,95,99,99,92,91,79,77,82,84,83,84,82,82,90,89,84,85,49,99,59,63,49,93,89,89,96,1,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,77.45291897659432
158023,Lionel Messi,ST,advanced_forward,none,169,67,4,5,97,82,90,92,92,90,90,80,90,80,92,87,86,93,90,95,85,93,93,94,40,75,20,35,24,90,90,78,54,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84.89632133700314
158023,Lionel Messi,ST,advanced_forward,hunter,169,67,4,5,99,90,94,99,96,90,99,88,90,80,92,87,86,93,90,95,85,93,93,94,40,75,20,35,24,90,90,78,54,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89.27881912193894
158023,Lionel Messi,CAM,classic_ten,none,169,67,4,5,97,82,90,92,92,90,90,80,90,80,92,87,86,93,90,95,85,93,93,94,40,75,20,35,24,90,90,78,54,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85.06053423260816
158023,Lionel Messi,CAM,classic_ten,deadeye,169,67,4,5,97,82,98,99,99,94,90,84,98,80,92,99,86,97,90,95,85,93,93,94,40,75,20,35,24,90,90,78,54,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88.87203770111785
158023,Lionel Messi,ST,false_nine,none,169,67,4,5,97,82,90,92,92,90,90,80,90,80,92,87,86,93,90,95,85,93,93,94,40,75,20,35,24,90,90,78,54,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85.83418070476851
158023,Lionel Messi,ST,false_nine,deadeye,169,67,4,5,97,82,98,99,99,94,90,84,98,80,92,99,86,97,90,95,85,93,93,94,40,75,20,35,24,90,90,78,54,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89.61648512058727
158023,Lionel Messi,CAM,half_winger,none,169,67,4,5,97,82,90,92,92,90,90,80,90,80,92,87,86,93,90,95,85,93,93,94,40,75,20,35,24,90,90,78,54,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81.28472671085537
158023,Lionel Messi,CAM,half_winger,catalyst,169,67,4,5,99,90,90,92,92,90,90,80,90,92,99,91,94,97,90,95,85,93,93,94,40,75,20,35,24,90,90,78,54,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84.71541304699193
158023,Lionel Messi,RW,inside_forward,none,169,67,4,5,97,82,90,92,92,90,90,80,90,80,92,87,86,93,90,95,85,93,93,94,40,75,20,35,24,90,90,78,54,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84.88555785492461
158023,Lionel Messi,RW,inside_forward,finisher,169,67,4,5,97,82,98,99,96,90,98,84,90,80,92,87,86,93,98,99,85,93,99,94,40,75,20,35,24,90,90,78,54,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88.85989717513277
